Player_Name,Club,Season,Goals,Assists
Mohamed Salah,Liverpool FC,2017,32,10
Harry Kane,Tottenham Hotspur,2017,30,2
Raheem Sterling,Manchester City,2017,18,11
Sergio Ag�ero,Manchester City,2017,21,6
Leroy San�,Manchester City,2017,10,15
Kevin De Bruyne,Manchester City,2017,8,16
Romelu Lukaku,Manchester United,2017,16,7
Roberto Firmino,Liverpool FC,2017,15,7
Riyad Mahrez,Leicester City,2017,12,10
Jamie Vardy,Leicester City,2017,20,1
Christian Eriksen,Tottenham Hotspur,2017,10,10
David Silva,Manchester City,2017,9,11
Dele Alli,Tottenham Hotspur,2017,9,10
Alexandre Lacazette,Arsenal FC,2017,14,4
Heung-min Son,Tottenham Hotspur,2017,12,6
�lvaro Morata,Chelsea FC,2017,11,6
Marko Arnautovic,West Ham United,2017,11,6
Sadio Man�,Liverpool FC,2017,10,7
Gabriel Jesus,Manchester City,2017,13,3
Eden Hazard,Chelsea FC,2017,12,4
Paul Pogba,Manchester United,2017,6,10
Alexis S�nchez,Manchester United,2017,9,6
Xherdan Shaqiri,Stoke City,2017,8,7
Pascal Gro�,Brighton & Hove Albion,2017,7,8
Aaron Ramsey,Arsenal FC,2017,7,8
Pierre-Emerick Aubameyang,Arsenal FC,2017,10,4
Anthony Martial,Manchester United,2017,9,5
Ayoze P�rez,Newcastle United,2017,8,5
Jesse Lingard,Manchester United,2017,8,5
Philippe Coutinho,Liverpool FC,2017,7,6
Willian,Chelsea FC,2017,6,7
Glenn Murray,Brighton & Hove Albion,2017,12,
Wayne Rooney,Everton FC,2017,10,2
Wilfried Zaha,Crystal Palace,2017,9,3
Marcus Rashford,Manchester United,2017,7,5
Mesut �zil,Arsenal FC,2017,4,8
Henrikh Mkhitaryan,Arsenal FC,2017,3,9
Chris Wood,Burnley FC,2017,10,1
Luka Milivojevic,Crystal Palace,2017,10,1
Joshua King,AFC Bournemouth,2017,8,3
Manuel Lanzini,West Ham United,2017,5,6
Oumar Niasse,Everton FC,2017,8,2
Callum Wilson,AFC Bournemouth,2017,8,2
Abdoulaye Doucour�,Watford FC,2017,7,3
Salom�n Rond�n,West Bromwich Albion,2017,7,3
Eric Maxim Choupo-Moting,Stoke City,2017,5,5
Dominic Calvert-Lewin,Everton FC,2017,4,6
Alex Oxlade-Chamberlain,Liverpool FC,2017,3,7
J�hann Gu�mundsson,Burnley FC,2017,2,8
Ashley Barnes,Burnley FC,2017,9,
Marcos Alonso,Chelsea FC,2017,7,2
Jordan Ayew,Swansea City,2017,7,2
Bernardo Silva,Manchester City,2017,6,3
Dwight Gayle,Newcastle United,2017,6,3
Dusan Tadic,Southampton FC,2017,6,3
Richarlison,Watford FC,2017,5,4
Marc Albrighton,Leicester City,2017,2,7
Andros Townsend,Crystal Palace,2017,2,7
Javier Hern�ndez,West Ham United,2017,8,
Olivier Giroud,Chelsea FC,2017,7,1
