Date,OneMO,ThreeMO,SixMO,OneYR
2001-07-31,3.67,3.54,3.47,3.53
2001-08-01,3.65,3.53,3.47,3.56
2001-08-02,3.65,3.53,3.46,3.57
2001-08-03,3.63,3.52,3.47,3.57
2001-08-06,3.62,3.52,3.47,3.56
2001-08-07,3.63,3.52,3.47,3.56
2001-08-08,3.61,3.49,3.41,3.46
2001-08-09,3.61,3.45,3.4,3.48
2001-08-10,3.58,3.43,3.37,3.45
2001-08-13,3.57,3.45,3.37,3.43
2001-08-14,3.54,3.43,3.38,3.46
2001-08-15,3.52,3.43,3.41,3.47
2001-08-16,3.48,3.39,3.36,3.43
2001-08-17,3.46,3.36,3.33,3.39
2001-08-20,3.48,3.42,3.4,3.44
2001-08-21,3.46,3.39,3.35,3.41
2001-08-22,3.46,3.38,3.37,3.44
2001-08-23,3.49,3.4,3.36,3.46
2001-08-24,3.49,3.42,3.37,3.48
2001-08-27,3.52,3.45,3.4,3.51
2001-08-28,3.53,3.41,3.35,3.46
2001-08-29,3.48,3.42,3.33,3.44
2001-08-30,3.41,3.36,3.28,3.38
2001-08-31,3.4,3.37,3.31,3.41
2001-09-04,3.43,3.44,3.43,3.55
2001-09-05,3.49,3.41,3.39,3.47
2001-09-06,3.44,3.34,3.33,3.4
2001-09-07,3.4,3.27,3.2,3.29
2001-09-10,3.4,3.26,3.23,3.31
2001-09-13,2.73,2.74,2.75,2.81
2001-09-14,2.54,2.64,2.67,2.73
2001-09-17,2.47,2.59,2.62,2.72
2001-09-18,2.34,2.48,2.56,2.69
2001-09-19,2.0,2.19,2.33,2.49
2001-09-20,2.04,2.22,2.38,2.56
2001-09-21,2.12,2.25,2.34,2.53
2001-09-24,2.38,2.38,2.39,2.56
2001-09-25,2.58,2.4,2.37,2.51
2001-09-26,2.51,2.38,2.34,2.48
2001-09-27,2.34,2.38,2.31,2.43
2001-09-28,2.28,2.4,2.36,2.49
2001-10-01,2.26,2.37,2.37,2.47
2001-10-02,2.27,2.26,2.27,2.43
2001-10-03,2.21,2.23,2.24,2.38
2001-10-04,2.22,2.21,2.21,2.37
2001-10-05,2.21,2.19,2.18,2.33
2001-10-09,2.24,2.22,2.2,2.35
2001-10-10,2.3,2.22,2.2,2.35
2001-10-11,2.3,2.27,2.26,2.44
2001-10-12,2.31,2.25,2.24,2.4
2001-10-15,2.33,2.25,2.22,2.39
2001-10-16,2.32,2.22,2.2,2.37
2001-10-17,2.34,2.22,2.2,2.37
2001-10-18,2.28,2.19,2.19,2.36
2001-10-19,2.29,2.19,2.17,2.34
2001-10-22,2.29,2.22,2.18,2.35
2001-10-23,2.32,2.2,2.16,2.37
2001-10-24,2.3,2.17,2.13,2.32
2001-10-25,2.27,2.14,2.09,2.26
2001-10-26,2.26,2.14,2.09,2.26
2001-10-29,2.24,2.09,2.04,2.18
2001-10-30,2.17,2.05,1.97,2.11
2001-10-31,2.15,2.05,1.95,2.07
2001-11-01,2.18,2.06,1.99,2.1
2001-11-02,2.09,2.01,1.94,2.07
2001-11-05,2.06,2.01,1.96,2.05
2001-11-06,1.98,1.85,1.83,1.97
2001-11-07,1.93,1.8,1.75,1.93
2001-11-08,1.93,1.84,1.8,2.0
2001-11-09,1.92,1.83,1.82,2.02
2001-11-13,1.94,1.84,1.86,2.07
2001-11-14,1.99,1.87,1.9,2.13
2001-11-15,1.99,1.92,2.01,2.34
2001-11-16,2.02,1.95,2.06,2.41
2001-11-19,2.02,1.94,2.0,2.31
2001-11-20,2.02,1.95,1.99,2.31
2001-11-21,2.0,1.96,2.02,2.38
2001-11-23,2.0,1.95,2.02,2.41
2001-11-26,2.0,1.98,2.04,2.43
2001-11-27,2.01,1.92,1.98,2.36
2001-11-28,1.96,1.87,1.92,2.26
2001-11-29,1.9,1.8,1.8,2.03
2001-11-30,1.87,1.78,1.79,2.06
2001-12-03,1.85,1.78,1.81,2.08
2001-12-04,1.81,1.74,1.8,2.07
2001-12-05,1.77,1.77,1.88,2.27
2001-12-06,1.73,1.75,1.91,2.35
2001-12-07,1.69,1.69,1.81,2.26
2001-12-10,1.68,1.71,1.79,2.17
2001-12-11,1.66,1.66,1.73,2.12
2001-12-12,1.69,1.67,1.74,2.13
2001-12-13,1.69,1.69,1.78,2.2
2001-12-14,1.7,1.73,1.81,2.22
2001-12-17,1.72,1.74,1.84,2.24
2001-12-18,1.72,1.71,1.81,2.24
2001-12-19,1.69,1.69,1.8,2.23
2001-12-20,1.67,1.69,1.79,2.22
2001-12-21,1.67,1.71,1.81,2.23
2001-12-24,1.66,1.72,1.83,2.24
2001-12-26,1.77,1.75,1.87,2.34
2001-12-27,1.75,1.74,1.84,2.27
2001-12-28,1.73,1.72,1.83,2.26
2001-12-31,1.68,1.74,1.83,2.17
2002-01-02,1.73,1.74,1.85,2.28
2002-01-03,1.73,1.73,1.82,2.24
2002-01-04,1.72,1.72,1.82,2.25
2002-01-07,1.7,1.68,1.77,2.19
2002-01-08,1.7,1.68,1.77,2.19
2002-01-09,1.68,1.68,1.77,2.17
2002-01-10,1.66,1.68,1.75,2.1
2002-01-11,1.62,1.58,1.62,1.98
2002-01-14,1.62,1.58,1.63,2.0
2002-01-15,1.64,1.6,1.63,1.99
2002-01-16,1.62,1.61,1.65,2.01
2002-01-17,1.6,1.64,1.73,2.09
2002-01-18,1.59,1.62,1.71,2.08
2002-01-22,1.67,1.7,1.77,2.11
2002-01-23,1.7,1.71,1.78,2.15
2002-01-24,1.69,1.72,1.82,2.22
2002-01-25,1.69,1.72,1.83,2.25
2002-01-28,1.71,1.76,1.88,2.28
2002-01-29,1.72,1.72,1.84,2.23
2002-01-30,1.7,1.75,1.86,2.23
2002-01-31,1.69,1.76,1.89,2.29
2002-02-01,1.69,1.76,1.87,2.22
2002-02-04,1.7,1.77,1.87,2.19
2002-02-05,1.74,1.76,1.86,2.22
2002-02-06,1.73,1.74,1.84,2.2
2002-02-07,1.71,1.73,1.83,2.2
2002-02-08,1.69,1.73,1.82,2.16
2002-02-11,1.73,1.75,1.86,2.21
2002-02-12,1.76,1.75,1.87,2.26
2002-02-13,1.75,1.76,1.87,2.27
2002-02-14,1.75,1.75,1.86,2.26
2002-02-15,1.72,1.74,1.84,2.2
2002-02-19,1.73,1.76,1.87,2.23
2002-02-20,1.75,1.76,1.87,2.24
2002-02-21,1.76,1.76,1.87,2.25
2002-02-22,1.75,1.76,1.86,2.22
2002-02-25,1.76,1.77,1.89,2.26
2002-02-26,1.78,1.77,1.91,2.31
2002-02-27,1.77,1.77,1.88,2.27
2002-02-28,1.76,1.79,1.87,2.25
2002-03-01,1.78,1.77,1.91,2.33
2002-03-04,1.77,1.81,1.94,2.36
2002-03-05,1.78,1.8,1.93,2.36
2002-03-06,1.77,1.78,1.92,2.34
2002-03-07,1.77,1.78,1.96,2.43
2002-03-08,1.77,1.81,2.05,2.57
2002-03-11,1.8,1.86,2.08,2.59
2002-03-12,1.82,1.84,2.06,2.57
2002-03-13,1.8,1.82,2.02,2.52
2002-03-14,1.79,1.86,2.06,2.59
2002-03-15,1.79,1.86,2.09,2.61
2002-03-18,1.77,1.88,2.14,2.65
2002-03-19,1.81,1.85,2.1,2.61
2002-03-20,1.79,1.84,2.12,2.66
2002-03-21,1.78,1.84,2.12,2.66
2002-03-22,1.78,1.84,2.13,2.7
2002-03-25,1.78,1.85,2.16,2.75
2002-03-26,1.82,1.81,2.12,2.69
2002-03-27,1.77,1.81,2.1,2.65
2002-03-28,1.76,1.79,2.12,2.7
2002-04-01,1.79,1.79,2.16,2.76
2002-04-02,1.79,1.8,2.12,2.68
2002-04-03,1.77,1.79,2.08,2.61
2002-04-04,1.77,1.78,2.07,2.61
2002-04-05,1.76,1.76,2.03,2.54
2002-04-08,1.76,1.75,2.02,2.61
2002-04-09,1.73,1.73,2.02,2.55
2002-04-10,1.72,1.71,1.98,2.52
2002-04-11,1.72,1.72,1.97,2.51
2002-04-12,1.71,1.71,1.96,2.44
2002-04-15,1.71,1.72,1.96,2.44
2002-04-16,1.71,1.74,1.97,2.46
2002-04-17,1.71,1.73,1.92,2.43
2002-04-18,1.7,1.72,1.91,2.4
2002-04-19,1.69,1.73,1.91,2.39
2002-04-22,1.67,1.72,1.92,2.41
2002-04-23,1.68,1.73,1.92,2.41
2002-04-24,1.67,1.72,1.89,2.35
2002-04-25,1.68,1.74,1.9,2.33
2002-04-26,1.68,1.75,1.9,2.31
2002-04-29,1.73,1.78,1.93,2.36
2002-04-30,1.77,1.77,1.91,2.35
2002-05-01,1.76,1.77,1.91,2.33
2002-05-02,1.74,1.77,1.92,2.35
2002-05-03,1.73,1.76,1.88,2.28
2002-05-06,1.74,1.78,1.9,2.3
2002-05-07,1.77,1.76,1.86,2.27
2002-05-08,1.76,1.76,1.91,2.37
2002-05-09,1.74,1.77,1.9,2.33
2002-05-10,1.73,1.77,1.88,2.27
2002-05-13,1.77,1.79,1.92,2.36
2002-05-14,1.78,1.78,1.95,2.43
2002-05-15,1.76,1.76,1.93,2.41
2002-05-16,1.74,1.75,1.9,2.35
2002-05-17,1.73,1.76,1.95,2.45
2002-05-20,1.73,1.77,1.94,2.41
2002-05-21,1.73,1.75,1.92,2.38
2002-05-22,1.72,1.74,1.9,2.34
2002-05-23,1.73,1.74,1.91,2.38
